comp;x;y;rotation;layer
BT176;0.5800;5.0000;270;TOP
C102;7.2100;6.5500;270;TOP
C103;6.2000;6.5400;180;BOT
C104;7.5300;6.1000;0;BOT
C106;6.5400;6.6300;180;BOT
C130;5.6970;2.8000;180;BOT
C131;4.7100;11.9800;180;BOT
C140;5.6000;3.4900;180;BOT
C141;5.6700;3.9100;180;BOT
C145;8.6600;1.0300;180;BOT
C150;7.4100;6.7300;180;TOP
C152;6.3300;8.1700;180;BOT
C154A;8.3200;6.7200;180;BOT
C154B;8.3200;6.8200;180;BOT
C175;7.6800;3.9700;0;BOT
C176;6.9100;3.9800;0;BOT
C177;0.7200;5.7400;0;BOT
C178;1.7500;6.1400;0;BOT
C179;1.7500;5.9400;0;BOT
C181;4.3900;12.8900;180;TOP
C185;9.1500;8.1900;0;TOP
C186;9.1500;8.1900;0;BOT
C187;8.7300;8.2100;90;TOP
C188;0.2900;2.4400;90;TOP
C189;1.6100;12.5300;90;TOP
C190;4.8800;2.3300;90;TOP
C191;5.6900;1.6800;90;TOP
C192;1.1200;4.9100;90;TOP
C193;8.8200;9.4900;180;BOT
C194;9.1100;9.6300;90;TOP
C195;9.1700;9.4900;180;BOT
C196;8.7900;9.6300;90;TOP
C198;3.8900;12.8900;270;TOP
C199;3.6900;12.8900;90;TOP
C200;1.2400;6.3200;180;TOP
C201;1.2400;6.3800;180;BOT
C205;3.1300;12.4000;0;BOT
C211A;1.6500;9.7700;0;BOT
C211B;1.7200;9.4400;180;BOT
C211C;1.0100;8.7400;180;BOT
C212;1.6400;8.6100;180;BOT
C213;0.8800;8.5700;180;BOT
C215;1.3300;7.7500;180;BOT
C216;0.8900;7.4800;180;BOT
C250A;3.4900;1.6900;0;BOT
C250C;3.7500;2.3400;0;BOT
C300;7.7700;11.2900;0;BOT
C305;6.6900;12.0500;180;BOT
C311;0.3300;1.0300;180;BOT
C317;7.7200;11.9900;90;TOP
C318;8.5500;12.6300;270;TOP
C350;8.9500;11.2700;0;BOT
C351;6.2300;11.4300;180;BOT
C352;5.7700;11.4300;180;BOT
C353;5.7700;12.0500;180;BOT
C354;5.7700;10.8300;180;BOT
C355;6.6900;11.4300;180;BOT
C400A;1.9900;11.9300;270;TOP
C400B;1.6900;11.9300;0;BOT
C402A;0.2900;12.1100;180;BOT
C402B;0.9900;12.3100;0;BOT
C403;0.9900;11.9900;0;TOP
C404;0.9800;12.1800;0;TOP
C405;1.2700;11.8900;0;TOP
C406;0.9900;12.3700;180;TOP
C406H;2.7200;11.1200;180;BOT
C407;1.3300;12.1300;180;TOP
C408;1.3100;12.5300;90;TOP
C409;0.2900;12.8100;0;BOT
C411;1.6200;11.3900;180;BOT
C412;1.6200;11.2900;180;BOT
C413;1.3600;11.2900;180;BOT
C414;1.3600;11.3900;0;BOT
C430;0.9900;12.0100;180;BOT
C431;0.3900;11.9100;180;BOT
C432;0.3900;12.0100;180;BOT
C433;0.9700;12.5600;180;TOP
C440;0.9900;12.7100;0;BOT
C441;0.2900;12.4100;180;BOT
C442;0.3000;12.1600;90;TOP
C443;0.6300;12.5100;0;TOP
C446;1.6200;12.9100;0;BOT
C447;1.3700;12.9100;180;BOT
C450;4.8100;8.4000;270;TOP
C455;3.9400;10.3600;180;BOT
C455B;3.9000;9.8700;180;BOT
C456;4.3300;11.0800;180;BOT
C456B;4.2000;10.4900;180;BOT
C457;4.5000;11.6100;180;BOT
C457B;4.5000;11.2300;180;BOT
C458;3.7800;12.0300;0;TOP
C458B;3.5700;11.3100;0;BOT
C459;3.7800;10.9500;180;BOT
C460A;3.0700;11.0400;180;BOT
C460B;3.0700;10.9400;180;BOT
C460C;2.8200;10.8400;0;BOT
C460D;2.8200;10.9400;0;BOT
C460E;3.0700;10.8400;180;BOT
C460F;3.0700;11.1400;180;BOT
C460G;2.6500;11.8900;180;TOP
C485;3.7700;11.0900;180;BOT
C500;2.8600;10.4500;0;BOT
C511;1.8200;12.5400;90;TOP
C512;1.9200;12.5400;90;TOP
C513;2.3400;12.2600;90;TOP
C700;3.5100;5.1500;180;BOT
C701;1.2400;6.4800;0;TOP
C702;4.9500;6.9300;180;BOT
C703;4.0200;4.5800;0;BOT
C704;4.2500;7.5100;0;BOT
C706;3.3670;7.5600;0;BOT
C707;3.9500;3.2000;0;BOT
C708;3.9870;3.9600;180;TOP
C710;2.6900;11.9300;0;BOT
C711;1.7900;8.0900;180;TOP
C714;3.1500;6.5500;180;BOT
C860;5.7470;0.8700;180;BOT
C890;6.7300;1.8900;0;BOT
C891;1.6100;5.1800;0;BOT
C892;4.6500;0.8400;180;BOT
C893;3.7300;0.5800;90;TOP
C894;3.0500;0.6670;90;TOP
C901;5.9800;9.7900;0;BOT
C902;6.8500;9.7300;0;BOT
C903;7.7900;9.6300;0;BOT
C904;8.0100;9.9900;0;BOT
C907;6.2500;10.8300;0;BOT
C975;0.7000;6.6400;0;BOT
C976;0.6900;6.1800;0;BOT
C990;0.6000;11.7500;0;BOT
CN160;9.0200;8.9200;90;TOP
CN175;4.1800;13.3500;0;TOP
CN200;4.9800;0.4300;90;TOP
CN300;8.1500;13.2300;270;TOP
CN302;4.9800;0.1300;90;TOP
CN303;4.9800;0.2800;90;TOP
CN350;8.1500;13.5100;270;TOP
CN351;7.1200;9.0700;90;TOP
CN352;5.9500;13.4900;270;TOP
CN402;1.0800;13.4100;0;TOP
CN403;1.5900;13.4100;0;TOP
CN404;1.3400;12.8100;270;TOP
CN450;2.8600;13.4900;270;TOP
CN452;5.2900;9.3800;0;TOP
CN600;5.2900;3.9400;0;TOP
CN651;9.0300;4.7100;180;TOP
CN900;7.1200;8.7100;270;TOP
CN975;0.1120;9.6120;0;TOP
CN976;0.1120;10.9920;0;TOP
D175;8.9700;10.0900;180;TOP
D176;9.1300;10.0900;0;TOP
D177;1.4800;6.3100;0;TOP
D178;1.6300;6.3100;0;TOP
D300;6.8400;12.8900;0;TOP
D305;7.9500;10.6900;90;TOP
D306;7.4300;11.8500;270;TOP
D307;7.4300;12.0100;270;TOP
D360;9.0000;11.9500;0;TOP
D361;8.8400;11.9500;0;TOP
D362;9.1600;11.9500;0;TOP
D363;9.3200;11.9500;0;TOP
D500;2.0400;11.5300;0;TOP
D501;2.2600;11.1500;0;TOP
D502;2.6400;11.6600;90;TOP
D503;2.2000;11.5300;0;TOP
D504;2.2600;10.7800;0;TOP
D505;2.1000;11.1500;0;TOP
D507;3.1400;10.4900;0;TOP
EC182;4.3300;12.9700;0;BOT
EC183;3.8100;12.9700;180;BOT
EC184;4.0700;12.9700;0;BOT
EC300;8.1900;11.9900;90;TOP
EC301;7.2900;12.6300;90;TOP
EC302;7.6900;12.6300;90;TOP
EC303;7.4900;12.6300;270;TOP
EC304;7.7900;12.6300;270;TOP
EC305;7.9900;11.9900;90;TOP
EC306;8.0900;12.6300;90;TOP
EC307;6.7700;12.7300;180;TOP
EC308;9.0100;12.6300;90;TOP
EC309;9.1300;12.6100;180;BOT
EC350;8.8100;12.6300;90;TOP
EC351;8.7100;12.6300;90;TOP
EC352;8.3900;12.6300;90;TOP
EC353;8.2900;12.6300;90;TOP
EC354;8.1900;12.6300;90;TOP
EC355;8.3900;11.9900;90;TOP
EC356;7.9900;12.6300;90;TOP
EC357;7.8900;12.6300;90;TOP
EC358;7.5900;12.6300;90;TOP
EC359;7.3900;12.6300;90;TOP
EC360;7.1900;12.6300;90;TOP
EC361;7.0900;12.6300;90;TOP
EC362;6.7700;12.9300;180;BOT
EC363;8.8500;12.6100;180;BOT
EC364;8.9100;12.6300;90;TOP
EC365;6.3300;12.6300;180;BOT
EC366;6.3300;12.8300;180;BOT
EC367;5.9100;12.7300;0;BOT
EC368;5.9100;12.8300;180;BOT
EC369;5.0700;12.8300;180;BOT
EC370;5.0700;12.9300;180;BOT
EC371;5.0700;12.7300;0;BOT
EC372;5.0700;12.6300;0;BOT
EC373;5.4900;12.9300;180;BOT
EC374;5.4900;12.8300;180;BOT
EC375;5.4900;12.7300;0;BOT
