comp;pin;x;y;pathname
BT176;1;0.3830;5.3830;N$2732
BT176;2;0.7770;5.3830;N$2732
BT176;3;0.5800;4.6170;GROUND
BT176;4;0.5800;5.3830;N$2732
C102;1;7.2100;6.6170;GROUND
C102;2;7.2100;6.4830;+5V
C103;1;6.1330;6.5400;GROUND
C103;2;6.2670;6.5400;+5V
C104;1;7.5970;6.1000;GROUND
C104;2;7.4630;6.1000;+5V
C106;1;6.4730;6.6300;GROUND
C106;2;6.6070;6.6300;+5V
C130;1;5.6300;2.8000;GROUND
C130;2;5.7640;2.8000;+5V
C131;1;4.6430;11.9800;GROUND
C131;2;4.7770;11.9800;+5V
C140;1;5.5330;3.4900;GROUND
C140;2;5.6670;3.4900;+5V
C141;1;5.6030;3.9100;GROUND
C141;2;5.7370;3.9100;+5V
C145;1;8.5930;1.0300;GROUND
C145;2;8.7270;1.0300;+5V
C150;1;7.3430;6.7300;GROUND
C150;2;7.4770;6.7300;+5V
C152;1;6.2630;8.1700;GROUND
C152;2;6.3970;8.1700;+5V
C154A;1;8.2530;6.7200;GROUND
C154A;2;8.3870;6.7200;+5V
C154B;1;8.2530;6.8200;GROUND
C154B;2;8.3870;6.8200;+5V
C175;1;7.6130;3.9700;GROUND
C175;2;7.7470;3.9700;+5V
C176;1;6.8430;3.9800;GROUND
C176;2;6.9770;3.9800;+5V
C177;1;0.7870;5.7400;GROUND
C177;2;0.6530;5.7400;+5V
C178;1;1.8170;6.1400;GROUND
C178;2;1.6830;6.1400;N$17983
C179;1;1.8170;5.9400;GROUND
C179;2;1.6830;5.9400;N$17988
C181;1;4.2820;12.8900;+W182
C181;2;4.4980;12.8900;GROUND
C185;1;9.1500;8.2900;+5V
C185;2;9.1500;8.0900;GROUND
C186;1;9.2170;8.1900;GROUND
C186;2;9.0830;8.1900;+5V
C187;1;8.7300;8.3180;+5V
C187;2;8.7300;8.1020;GROUND
C188;1;0.2900;2.5480;+5V
C188;2;0.2900;2.3320;GROUND
C189;1;1.6100;12.6380;+5V
C189;2;1.6100;12.4220;GROUND
C190;1;4.8800;2.4380;+5V
C190;2;4.8800;2.2220;GROUND
C191;1;5.6900;1.7880;+5V
C191;2;5.6900;1.5720;GROUND
C192;1;1.1200;5.0180;+5V
C192;2;1.1200;4.8020;GROUND
